url,brand,name,sizes,image_article,status
https://www.fjellsport.no/merker/black-diamond/black-diamond-crampon-bag-envy-green-P398-6523,black-diamond,Black Diamond Crampon Bag Envy Green | Fjellsport.no,One size,400156-3011-CRAMPON%20BAG-Envy%20Green-01-,ok
https://www.fjellsport.no/merker/black-diamond/black-diamond-hydra-ice-tool-no-color-P398-6524,black-diamond,Black Diamond Hydra Ice Tool | Fjellsport.no,One Size,412052_0000_HYDRA%20ICE%20TOOL_NO%20COLOR_01_,ok
https://www.fjellsport.no/merker/black-diamond/black-diamond-circuit-crash-pad-lagoon-P398-6525,black-diamond,Black Diamond Circuit Crash Pad Lagoon | Fjellsport.no,One Size,black-diamond-circuit-crash-pad-lagoon,ok
https://www.fjellsport.no/merker/black-diamond/black-diamond-circuit-crash-pad-rust-orange-P398-6526,black-diamond,Black Diamond Circuit Crash Pad Rust Orange | Fjellsport.no,One Size,black-diamond-circuit-crash-pad-rust-orange,ok
https://www.fjellsport.no/merker/black-diamond/black-diamond-circuit-z-crash-pad-pewter-P398-6527,black-diamond,Black Diamond Circuit Z Crash Pad Pewter | Fjellsport.no,One Size,550840-1016-CIRCUIT%20Z%20CRASH%20PAD-Pewter-01-,ok
https://www.fjellsport.no/merker/black-diamond/black-diamond-distance-lt-1100-headlamp-black-alloy-P398-6528,black-diamond,Black Diamond Distance Lt 1100 Headlamp Black/Alloy | Fjellsport.no,One Size,620602-9309-DISTANCE%20LT%201000%20HEADLAMP-Black-Alloy-01-,ok
https://www.fjellsport.no/merker/black-diamond/black-diamond-bd-lt-battery-no-color-P398-6529,black-diamond,Black Diamond Bd Lt Battery | Fjellsport.no,One Size,620698-0000-BD%20LT%20BATTERY-NO%20COLOR-01-,ok
https://www.fjellsport.no/merker/black-diamond/black-diamond-team-chalk-pot-octane-P398-6496,black-diamond,Black Diamond Team Chalk Pot Octane | Fjellsport.no,One Size,630107-8001-team-chalk-pot-octane-01,ok
https://www.fjellsport.no/merker/black-diamond/black-diamond-k-mojo-chalk-bag-burnt-sienna-FS526821,black-diamond,Black Diamond K Mojo Chalk Bag Burnt Sienna | Fjellsport.no,S,630109-6044-K%20MOJO%20CHALK%20BAG-Burnt%20Sienna-01-,ok
https://www.fjellsport.no/merker/black-diamond/black-diamond-k-mojo-chalk-bag-glacier-FS526822,black-diamond,Black Diamond K Mojo Chalk Bag Glacier | Fjellsport.no,One size,630109-4072-K%20MOJO%20CHALK%20BAG-Glacier-01-,ok
https://www.fjellsport.no/merker/black-diamond/black-diamond-gym-chalk-bag-gray-quilt-FS526823,black-diamond,Black Diamond Gym Chalk Bag Gray Quilt | Fjellsport.no,M/L,630112-1025-gym-chalk-bag-gray-quilt-01,ok
https://www.fjellsport.no/merker/black-diamond/black-diamond-mondo-chalk-pot-repo-grey-P398-6533,black-diamond,Black Diamond Mondo Chalk Pot Repo Grey | Fjellsport.no,One Size,4778_source_1697161921,ok
https://www.fjellsport.no/merker/black-diamond/black-diamond-mondo-chalk-pot-repo-green-P398-6534,black-diamond,Black Diamond Mondo Chalk Pot Repo Green | Fjellsport.no,One Size,630116_3033_MONDO%20CHALK%20POT_REPO%20GREEN_01_,ok
https://www.fjellsport.no/merker/black-diamond/black-diamond-mondo-chalk-pot-repo-blue-P398-6535,black-diamond,Black Diamond Mondo Chalk Pot Repo Blue | Fjellsport.no,One Size,269ecf192a4f502f38c0c58972fdbe51487bbb92__07757,ok
